origem_ponto,origem_lat,origem_long,destino_ponto,destino_lat,destino_long
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Hospital das Clínicas, São Paulo, SP, Brasil",-23.557827,-46.6727323
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Shopping Center Norte, São Paulo, SP, Brasil",-23.5162851,-46.61803653103877
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Parque da Juventude, São Paulo, SP, Brasil",-23.50737775,-46.62177797548021
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Mercado Municipal de São Paulo, São Paulo, SP, Brasil",-23.54173325,-46.62952437380088
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Shopping Metrô Tatuapé, São Paulo, SP, Brasil",-23.541689,-46.57704635126976
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Senac Nações Unidas, São Paulo, SP, Brasil",-23.6698233,-46.7017363
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Hospital São Camilo, São Paulo, SP, Brasil",-23.5339296,-46.6931917
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Shopping Vila Maria, São Paulo, SP, Brasil",-23.5919413,-46.7600413
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Igreja Nossa Senhora do Brasil, São Paulo, SP, Brasil",-23.56946695,-46.67277716373626
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Parque da Água Branca, São Paulo, SP, Brasil",-23.5303306,-46.66953612685586
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Shopping Penha, São Paulo, SP, Brasil",-23.5251778,-46.54675185766971
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Museu do Futebol, São Paulo, SP, Brasil",-23.5474227,-46.6654699
